date,geography,geography code,Welsh speaking ability: Total: All usual residents aged 3 years and over,Welsh speaking ability: Cannot speak Welsh,Welsh speaking ability: Can speak Welsh
2021,Isle of Anglesey,W06000001,67086,29673,37413
2021,Gwynedd,W06000002,114307,40747,73560
2021,Conwy,W06000003,111805,82805,29000
2021,Denbighshire,W06000004,93062,72116,20946
2021,Flintshire,W06000005,150562,133134,17428
2021,Wrexham,W06000006,131085,115132,15953
2021,Ceredigion,W06000008,69911,38233,31678
2021,Pembrokeshire,W06000009,120206,99580,20626
2021,Carmarthenshire,W06000010,182719,109881,72838
2021,Swansea,W06000011,231889,205903,25986
2021,Neath Port Talbot,W06000012,138320,119658,18662
2021,Bridgend,W06000013,141294,128257,13037
2021,Vale of Glamorgan,W06000014,128082,113345,14737
2021,Cardiff,W06000015,351240,308483,42757
2021,Rhondda Cynon Taff,W06000016,230318,201762,28556
2021,Caerphilly,W06000018,170687,152850,17837
2021,Blaenau Gwent,W06000019,64796,60761,4035
2021,Torfaen,W06000020,89380,82014,7366
2021,Monmouthshire,W06000021,90687,82835,7852
2021,Newport,W06000022,153877,142283,11594
2021,Powys,W06000023,129902,108544,21358
2021,Merthyr Tydfil,W06000024,56957,51878,5079
