date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,Isle of Anglesey,W06000001,67086,35607,31479
2021,Gwynedd,W06000002,114307,48668,65639
2021,Conwy,W06000003,111805,87795,24010
2021,Denbighshire,W06000004,93062,75621,17441
2021,Flintshire,W06000005,150562,136247,14315
2021,Wrexham,W06000006,131085,117717,13368
2021,Ceredigion,W06000008,69911,42774,27137
2021,Pembrokeshire,W06000009,120208,103547,16661
2021,Carmarthenshire,W06000010,182719,123834,58885
2021,Swansea,W06000011,231889,210022,21867
2021,Neath Port Talbot,W06000012,138320,123082,15238
2021,Bridgend,W06000013,141294,129909,11385
2021,Vale of Glamorgan,W06000014,128080,115278,12802
2021,Cardiff,W06000015,351240,312674,38566
2021,Rhondda Cynon Taff,W06000016,230318,205072,25246
2021,Caerphilly,W06000018,170687,154941,15746
2021,Blaenau Gwent,W06000019,64796,61282,3514
2021,Torfaen,W06000020,89380,82945,6435
2021,Monmouthshire,W06000021,90687,83871,6816
2021,Newport,W06000022,153877,143939,9938
2021,Powys,W06000023,129902,112379,17523
2021,Merthyr Tydfil,W06000024,56957,52504,4453
