date,geography,geography code,Welsh reading ability: Total: All usual residents aged 3 years and over,Welsh reading ability: Cannot read Welsh,Welsh reading ability: Can read Welsh
2021,Isle of Anglesey,W06000001,67086,33119,33967
2021,Gwynedd,W06000002,114309,45664,68645
2021,Conwy,W06000003,111806,84452,27354
2021,Denbighshire,W06000004,93062,73201,19861
2021,Flintshire,W06000005,150562,133346,17216
2021,Wrexham,W06000006,131085,115181,15904
2021,Ceredigion,W06000008,69911,40342,29569
2021,Pembrokeshire,W06000009,120208,100898,19310
2021,Carmarthenshire,W06000010,182719,116974,65745
2021,Swansea,W06000011,231889,205088,26801
2021,Neath Port Talbot,W06000012,138319,119737,18582
2021,Bridgend,W06000013,141294,126790,14504
2021,Vale of Glamorgan,W06000014,128080,113082,14998
2021,Cardiff,W06000015,351240,306330,44910
2021,Rhondda Cynon Taff,W06000016,230318,200301,30017
2021,Caerphilly,W06000018,170686,152541,18145
2021,Blaenau Gwent,W06000019,64796,60742,4054
2021,Torfaen,W06000020,89380,82051,7329
2021,Monmouthshire,W06000021,90687,82771,7916
2021,Newport,W06000022,153878,142368,11510
2021,Powys,W06000023,129902,109287,20615
2021,Merthyr Tydfil,W06000024,56958,51496,5462
