date,geography,geography code,Welsh understanding ability: Total: All usual residents aged 3 years and over,Welsh understanding ability: Cannot understand spoken Welsh,Welsh understanding ability: Can understand spoken Welsh
2021,Isle of Anglesey,W06000001,67086,24601,42485
2021,Gwynedd,W06000002,114307,37290,77017
2021,Conwy,W06000003,111805,73413,38392
2021,Denbighshire,W06000004,93062,65952,27110
2021,Flintshire,W06000005,150562,126854,23708
2021,Wrexham,W06000006,131085,108956,22129
2021,Ceredigion,W06000008,69911,34037,35874
2021,Pembrokeshire,W06000009,120208,93496,26712
2021,Carmarthenshire,W06000010,182719,95503,87216
2021,Swansea,W06000011,231889,195740,36149
2021,Neath Port Talbot,W06000012,138320,112672,25648
2021,Bridgend,W06000013,141294,123259,18035
2021,Vale of Glamorgan,W06000014,128080,109645,18435
2021,Cardiff,W06000015,351240,299490,51750
2021,Rhondda Cynon Taff,W06000016,230318,193783,36535
2021,Caerphilly,W06000018,170687,148842,21845
2021,Blaenau Gwent,W06000019,64796,59804,4992
2021,Torfaen,W06000020,89380,80837,8543
2021,Monmouthshire,W06000021,90687,81319,9368
2021,Newport,W06000022,153877,140120,13757
2021,Powys,W06000023,129902,101370,28532
2021,Merthyr Tydfil,W06000024,56957,50057,6900
